locus_id	cluster	cluster_size
LNC_L00001	14	6
LNC_L00002	22	9
LNC_L00003	8	7
LNC_L00005	3	3
LNC_L00006	17	7
LNC_L00007	16	3
LNC_L00009	35	25
LNC_L00010	35	25
LNC_L00012	17	7
LNC_L00014	18	8
LNC_L00015	11	6
LNC_L00016	9	7
LNC_L00017	12	7
LNC_L00018	31	13
LNC_L00020	21	8
LNC_L00021	10	20
LNC_L00022	18	8
LNC_L00023	12	7
LNC_L00024	21	8
LNC_L00025	19	25
LNC_L00026	15	14
LNC_L00027	10	20
LNC_L00028	22	9
LNC_L00030	6	4
LNC_L00031	10	20
LNC_L00032	31	13
LNC_L00033	27	9
LNC_L00034	19	25
LNC_L00035	34	13
LNC_L00036	18	8
LNC_L00037	2	14
LNC_L00038	7	9
LNC_L00039	35	25
LNC_L00040	20	15
LNC_L00041	32	12
LNC_L00042	35	25
LNC_L00043	33	5
LNC_L00044	23	4
LNC_L00045	27	9
LNC_L00046	20	15
LNC_L00047	35	25
LNC_L00048	20	15
LNC_L00049	35	25
LNC_L00051	34	13
LNC_L00053	30	4
LNC_L00055	35	25
LNC_L00056	10	20
LNC_L00057	35	25
LNC_L00058	19	25
LNC_L00059	29	11
LNC_L00060	34	13
LNC_L00061	35	25
LNC_L00062	29	11
LNC_L00063	28	2
LNC_L00064	10	20
LNC_L00066	35	25
LNC_L00067	20	15
LNC_L00069	12	7
LNC_L00070	22	9
LNC_L00071	2	14
LNC_L00072	18	8
LNC_L00073	14	6
LNC_L00074	21	8
LNC_L00075	31	13
LNC_L00076	20	15
LNC_L00077	9	7
LNC_L00078	10	20
LNC_L00079	4	4
LNC_L00080	2	14
LNC_L00081	19	25
LNC_L00082	33	5
LNC_L00083	20	15
LNC_L00084	32	12
LNC_L00085	19	25
LNC_L00086	10	20
LNC_L00088	27	9
LNC_L00089	11	6
LNC_L00090	34	13
LNC_L00091	7	9
LNC_L00092	33	5
LNC_L00093	19	25
LNC_L00096	22	9
LNC_L00097	22	9
LNC_L00098	11	6
LNC_L00099	29	11
LNC_L00100	25	2
LNC_L00101	34	13
LNC_L00102	10	20
LNC_L00103	35	25
LNC_L00104	29	11
LNC_L00105	16	3
LNC_L00106	34	13
LNC_L00107	34	13
LNC_L00108	19	25
LNC_L00109	7	9
LNC_L00110	32	12
LNC_L00111	35	25
LNC_L00112	35	25
LNC_L00114	17	7
LNC_L00115	14	6
LNC_L00116	15	14
LNC_L00117	19	25
LNC_L00118	33	5
LNC_L00119	16	3
LNC_L00120	32	12
LNC_L00121	9	7
LNC_L00122	2	14
LNC_L00123	29	11
LNC_L00125	27	9
LNC_L00127	19	25
LNC_L00128	15	14
LNC_L00129	31	13
LNC_L00130	2	14
LNC_L00131	31	13
LNC_L00132	35	25
LNC_L00135	3	3
LNC_L00136	19	25
LNC_L00137	18	8
LNC_L00139	26	2
LNC_L00140	2	14
LNC_L00141	32	12
LNC_L00142	7	9
LNC_L00143	14	6
LNC_L00145	23	4
LNC_L00146	27	9
LNC_L00147	17	7
LNC_L00149	34	13
LNC_L00150	35	25
LNC_L00151	8	7
LNC_L00152	2	14
LNC_L00153	7	9
LNC_L00154	10	20
LNC_L00155	12	7
LNC_L00156	21	8
LNC_L00157	4	4
LNC_L00158	4	4
LNC_L00159	10	20
LNC_L00160	7	9
LNC_L00161	2	14
LNC_L00162	2	14
LNC_L00163	29	11
LNC_L00164	17	7
LNC_L00165	18	8
LNC_L00166	5	3
LNC_L00167	22	9
LNC_L00168	35	25
LNC_L00169	8	7
LNC_L00170	20	15
LNC_L00171	7	9
LNC_L00173	21	8
LNC_L00174	15	14
LNC_L00177	15	14
LNC_L00178	31	13
LNC_L00179	19	25
LNC_L00180	15	14
LNC_L00181	35	25
LNC_L00182	7	9
LNC_L00183	15	14
LNC_L00184	15	14
LNC_L00186	30	4
LNC_L00187	35	25
LNC_L00188	22	9
LNC_L00189	18	8
LNC_L00190	8	7
LNC_L00191	19	25
LNC_L00192	19	25
LNC_L00194	29	11
LNC_L00196	35	25
LNC_L00197	1	2
LNC_L00198	10	20
LNC_L00199	20	15
LNC_L00200	10	20
LNC_L00201	22	9
LNC_L00202	25	2
LNC_L00203	20	15
LNC_L00204	20	15
LNC_L00205	27	9
LNC_L00207	14	6
LNC_L00208	10	20
LNC_L00210	31	13
LNC_L00211	19	25
LNC_L00212	35	25
LNC_L00213	10	20
LNC_L00214	29	11
LNC_L00215	19	25
LNC_L00216	12	7
LNC_L00218	5	3
LNC_L00220	31	13
LNC_L00221	3	3
LNC_L00222	31	13
LNC_L00223	10	20
LNC_L00224	35	25
LNC_L00225	29	11
LNC_L00226	15	14
LNC_L00227	13	3
LNC_L00228	27	9
LNC_L00229	19	25
LNC_L00230	32	12
LNC_L00231	2	14
LNC_L00232	13	3
LNC_L00233	11	6
LNC_L00234	19	25
LNC_L00235	24	2
LNC_L00236	6	4
LNC_L00237	12	7
LNC_L00238	32	12
LNC_L00239	32	12
LNC_L00240	29	11
LNC_L00241	6	4
LNC_L00242	9	7
LNC_L00243	35	25
LNC_L00244	20	15
LNC_L00245	15	14
LNC_L00246	27	9
LNC_L00247	14	6
LNC_L00249	10	20
LNC_L00250	9	7
LNC_L00251	21	8
LNC_L00252	2	14
LNC_L00253	15	14
LNC_L00254	28	2
LNC_L00255	35	25
LNC_L00257	24	2
LNC_L00258	19	25
LNC_L00259	26	2
LNC_L00260	19	25
LNC_L00262	31	13
LNC_L00264	7	9
LNC_L00267	19	25
LNC_L00268	19	25
LNC_L00269	8	7
LNC_L00270	20	15
LNC_L00271	35	25
LNC_L00272	34	13
LNC_L00273	5	3
LNC_L00275	19	25
LNC_L00276	17	7
LNC_L00277	15	14
LNC_L00279	10	20
LNC_L00280	9	7
LNC_L00281	23	4
LNC_L00282	15	14
LNC_L00284	18	8
LNC_L00285	34	13
LNC_L00286	15	14
LNC_L00287	19	25
LNC_L00288	34	13
LNC_L00290	33	5
LNC_L00291	31	13
LNC_L00292	31	13
LNC_L00293	29	11
LNC_L00294	21	8
LNC_L00295	34	13
LNC_L00296	27	9
LNC_L00297	8	7
LNC_L00298	19	25
LNC_L00299	2	14
LNC_L00300	31	13
LNC_L00302	32	12
LNC_L00304	32	12
LNC_L00305	32	12
LNC_L00306	10	20
LNC_L00307	30	4
LNC_L00308	13	3
LNC_L00309	22	9
LNC_L00310	19	25
LNC_L00311	20	15
LNC_L00313	4	4
LNC_L00314	20	15
LNC_L00316	6	4
LNC_L00317	34	13
LNC_L00318	10	20
LNC_L00319	32	12
LNC_L00320	9	7
LNC_L00321	20	15
LNC_L00322	11	6
LNC_L00323	11	6
LNC_L00324	17	7
LNC_L00326	30	4
LNC_L00328	2	14
LNC_L00329	10	20
LNC_L00330	1	2
LNC_L00331	2	14
LNC_L00332	21	8
LNC_L00333	23	4
LNC_L00334	35	25
LNC_L00335	8	7
LNC_L00336	12	7
